"STATION","NAME","DATE","AWND","PRCP","SNOW","TMAX","TMIN","WT01","WT02","WT03","WT08"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-13","4.47","0.00",,"101","74",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-14","5.37","0.01",,"98","74",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-15","3.13","0.00",,"100","71",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-16","2.91","0.00",,"98","75",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-17","4.47","0.00",,"98","74",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-18","3.58","0.00",,"99","72",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-19","4.70","0.00",,"96","76",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-20","5.14","0.00",,"97","75",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-21","4.03","0.00",,"94","75",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-22","4.03","0.04",,"89","66",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-23","2.68","0.03",,"84","64",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-24","3.13","0.00",,"93","69",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-25","4.03","0.00",,"95","69",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-26","4.47","0.06",,"98","69",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-27","4.03","0.00",,"97","71",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-28","3.13","0.00",,"99","74",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-29","5.14","0.00",,"100","74",,,"    1","    1"
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-30","6.26","0.00",,"97","73",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-08-31","3.36","0.05",,"92","69",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-01","3.80","0.01",,"90","66",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-02","3.36","0.00",,"89","69",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-03","4.70","0.00",,"93","66",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-04","4.47","0.00",,"91","69",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-05","2.68","0.00",,"95","65",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-06","4.25","0.00",,"96","70",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-07","4.25","0.00",,"94","74",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-08","4.25","0.00",,"93","68",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-09","3.80","0.00",,"92","68",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-10","4.92","0.01",,"90","68",,,"    1",
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-11","3.36","0.20",,"72","64","    1",,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-12","2.24","0.00",,"80","64",,,,
"USW00003162","PAGE MUNICIPAL AIRPORT, AZ US","2012-09-13","2.46","0.00",,"86","59",,,,
